客戶代號,客戶簡稱,訂單日期,"客戶
訂單單號",內部訂單單號,請購日期,請購單號,採購日期,採購單號,進貨驗收日期,進貨/驗收單,應付憑單單號,出貨日期,出貨單號,發票號碼日期,發票號碼
120203,RK,111/3/1,RKE/OE/008,229-111030001-0001,111/3/1,313-111030001-0001,111/3/2,331-111030001-0002,111/6/22,349-111060007-0001,710-111060027,111/6/24,239-111060030-0001,111/6/24,2022062401
120142,FLIR,2022/5/2,1110236615,229-111050001-0001,2022/5/2,313-111050003-0001,2022/5/4,331-111050003-0001,2022/7/5,349-111070007-0002,710-111070019,2022/7/7,239-111070012-0001,2022/7/7,2022070711
120142,FLIR,2022/5/2,1110236615,229-111050001-0001,2022/5/2,313-111050003-0001,2022/5/4,331-111050003-0001,2022/7/5,349-111080002-0008,710-111080002,2022/8/11,239-111080017-0001,2022/8/11,2022081105
120113,Mouser,2022/5/3,029-1G412,229-111050002-0001,2022/5/3,313-111050006-0001,2022/5/4,331-111050009-0013,2022/9/21,349-111090008-0014,710-111090078,2022/9/29,239-111100008-0001,2022/9/29,2022100308
120113,Mouser,2022/5/3,029-1G412,229-111050002-0002,2022/5/3,313-111050006-0002,2022/5/4,331-111050009-0009,2022/9/1,349-111090002-0023,710-111090008,2022/9/8,239-111090016-0004,2022/9/8,2022090807
120113,Mouser,2022/5/3,029-1G412,229-111050002-0002,2022/5/3,313-111050006-0002,2022/5/4,331-111050009-0008,2022/10/3,349-111100004-0019,710-111100004,2022/10/13,239-111100022-0002,2022/10/13,2022101308
120113,Mouser,2022/5/3,029-1G412,229-111050002-0003,2022/5/3,313-111050006-0003,2022/5/4,331-111050009-0014,2022/10/3,349-111100004-0025,710-111100004,2022/10/13,239-111100022-0001,2022/10/13,2022101308
120128,Future Canada,2022/5/3,CCLUR1,229-111050003-0001,2022/5/3,313-111050005-0001,2022/4/27,331-111050004-0003,,,,,,,
120114,Crydom,2022/5/3,957334,229-111050004-0001,2022/5/3,313-111050009-0001,2022/5/4,331-111050009-0007,2022/10/3,349-111100003-0005,710-111100003,2022/9/29,239-111100010-0001,2022/9/29,2022100310
120113,Mouser,2022/5/3,029-1H028,229-111050005-0001,2022/5/3,313-111050007-0001,2022/5/4,331-111050009-0010,2022/9/21,349-111090008-0009,710-111090078,2022/9/29,239-111100008-0003,2022/9/29,2022100308
120113,Mouser,2022/5/3,029-1H028,229-111050005-0002,2022/5/3,313-111050007-0002,2022/5/4,331-111050009-0011,2022/9/21,349-111090008-0010,710-111090078,2022/9/29,239-111100008-0004,2022/9/29,2022100308
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
